x,y
450,0.00612363
454,0.005674128
458,0.005264956
462,0.004896113
466,0.0045676
470,0.004279417
474,0.004031563
478,0.00382404
482,0.003656845
486,0.003529981
490,0.003443446
494,0.003397241
498,0.003391366
502,0.003425821
506,0.003500605
510,0.003615719
514,0.003944131
518,0.004258749
522,0.004312938
526,0.004555303
530,0.004681362
534,0.004827832
538,0.005010576
542,0.005276785
546,0.005668287
550,0.005906789
554,0.006155075
558,0.006125639
562,0.006115502
566,0.005821894
570,0.005606225
574,0.005319106
578,0.004817823
582,0.004166413
586,0.003533495
590,0.002905456
594,0.002174616
598,0.001492129
602,0.000772909
606,0.000320048
610,1.38E-05
614,0
618,6.89E-05
622,0.000286741
626,0.000588111
630,0.000966537
634,0.001286737
638,0.001514268
642,0.001600663
646,0.001743603
650,0.001872286
654,0.001955402
658,0.002000343
662,0.001972768
666,0.001944091
670,0.00198128
674,0.002053756
678,0.001953677
682,0.001843074
686,0.001734694
690,0.00165594
694,0.001573689
698,0.001326878
702,0.001063313
706,0.000897211
710,0.000711141
714,0.000433937
718,0.000191614
722,7.66E-05
726,4.75E-05
730,9.38E-05
734,0.000192465
738,0.000385815
742,0.000657732
746,0.000964905
750,0.001348052
754,0.001613832
758,0.001910532
762,0.002142
766,0.002300274
770,0.002344043
774,0.002163251
778,0.002216975
782,0.002350691
786,0.002572698
790,0.00294423
794,0.003317439
798,0.003799378
802,0.004431779
806,0.004962769
810,0.005387101
814,0.005601329
818,0.005615877
822,0.005447028
826,0.005391714
830,0.005316517
834,0.005356298
838,0.005799324
842,0.006451677
846,0.007237411
850,0.008023586
854,0.008829638
858,0.009546211
862,0.010065343
866,0.010318158
870,0.010368489
874,0.010083223
878,0.009609678
882,0.008836537
886,0.007816714
890,0.006454521
894,0.004858816
898,0.003375926
902,0.001810413
906,0.000548971
910,0.000523023
914,0.00233085
918,0.005395926
922,0.009200847
926,0.014068039
930,0.019460911
934,0.024601842
938,0.029196076
942,0.033133557
946,0.036579696
950,0.039402304
954,0.041530223
958,0.043268647
962,0.044290665
966,0.044927801
970,0.04507017
974,0.044346196
978,0.043435777
982,0.042196033
986,0.039966365
990,0.036610644
994,0.031885162
998,0.026278623
1002,0.020308928
1006,0.01453726
1010,0.010531508
1014,0.008721678
1018,0.010285173
1022,0.016116621
1026,0.026241584
1030,0.039898534
1034,0.054634829
1038,0.068301517
1042,0.080716218
1046,0.091625894
1050,0.099999881
1054,0.105732704
1058,0.109143783
1062,0.110617872
1066,0.110480563
1070,0.108864148
1074,0.10591381
1078,0.102058039
1082,0.097243512
1086,0.091603191
1090,0.084853775
1094,0.077032642
1098,0.068620213
1102,0.058928428
1106,0.04804667
1110,0.036653697
1114,0.02548559
1118,0.015594573
1122,0.007589602
1126,0.001992278
1130,0
1134,0
1138,0.001138307
1142,0.004570472
1146,0.00787322
1150,0.009925142
1154,0.0102703
1158,0.009458354
1162,0.008373971
1166,0.007323853
1170,0.006342578
1174,0.005576128
1178,0.005295725
1182,0.005465663
1186,0.006072557
1190,0.007176757
1194,0.008760625
1198,0.010710703
1202,0.012993197
1206,0.015421348
1210,0.017965823
1214,0.020529741
1218,0.023007628
1222,0.025261914
1226,0.027255433
1230,0.028876849
1234,0.030126708
1238,0.030851479
1242,0.031038488
1246,0.030635718
1250,0.029686147
1254,0.028249849
1258,0.026381034
1262,0.024085229
1266,0.021481736
1270,0.018680528
1274,0.015844911
1278,0.013048197
1282,0.0105546
1286,0.008307825
1290,0.006232251
1294,0.004486033
1298,0.003082256
1302,0.001973528
1306,0.001266295
1310,0.000947225
1314,0.001049238
1318,0.0016306
1322,0.002897439
1326,0.004751263
1330,0.007029529
1334,0.009563304
1338,0.012267029
1342,0.014953792
1346,0.017529984
1350,0.019874827
1354,0.021850414
1358,0.023450393
1362,0.02446514
1366,0.024945145
1370,0.024856807
1374,0.024202119
1378,0.022915153
1382,0.021123249
1386,0.019092429
1390,0.017285215
1394,0.015467939
1398,0.013570354
1402,0.013489029
1406,0.014269004
1410,0.015458498
1414,0.017625361
1418,0.02028844
1422,0.023247647
1426,0.026284555
1430,0.029297721
1434,0.032248564
1438,0.035003661
1442,0.037583527
1446,0.039781838
1450,0.041457801
1454,0.042577909
1458,0.043087241
1462,0.042890923
1466,0.041957166
1470,0.040325114
1474,0.037971769
1478,0.034951592
1482,0.031224088
1486,0.027011449
1490,0.022330727
